#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2014 02 05 01 04 230  3.0  4.0   0.4     5    MM  MM 1027.9   1.1   3.1    MM  1.6   MM    MM
2014 02 05 00 04 220  4.0  5.0   0.5     5    MM  MM 1028.3   0.9   3.0    MM  1.6   MM    MM
2014 02 04 23 04 210  5.0  6.0   0.6    11    MM  MM 1027.9   0.5   3.0    MM  1.6   MM    MM
2014 02 04 22 04 200  4.0  5.0   0.7     5    MM  MM 1026.9   0.1   3.1    MM  1.6   MM    MM
2014 02 04 21 04 170  5.0  6.0   0.7     5    MM  MM 1026.7  -0.3   3.2    MM  1.6   MM    MM
2014 02 04 20 04 180  5.0  6.0   0.7     5    MM  MM 1027.4  -0.5   3.2    MM  1.5   MM    MM
2014 02 04 19 04 180  4.0  5.0   0.7     5    MM  MM 1027.6  -0.8   3.1    MM  1.5   MM    MM
2014 02 04 18 04 140  2.0  3.0   0.7     5    MM  MM 1027.9  -1.2   3.1    MM  1.6   MM    MM
2014 02 04 17 04 140  1.0  1.0   0.8     8    MM  MM 1028.7  -1.2   2.9    MM  1.6   MM    MM
2014 02 04 16 04  20  3.0  4.0   0.8     5    MM  MM 1029.5  -2.6   2.9    MM  1.6   MM    MM
2014 02 04 15 04  10  4.0  6.0   0.9     8    MM  MM 1030.2  -3.0   2.9    MM  1.6   MM    MM
2014 02 04 14 04  10  4.0  6.0   0.9     8    MM  MM 1029.7  -2.7   2.8    MM  1.6   MM    MM
2014 02 04 13 04 360  4.0  6.0   0.9     8    MM  MM 1029.2  -2.6   2.9    MM  1.6   MM    MM
2014 02 04 12 04 350  4.0  5.0   0.7     5    MM  MM 1028.4  -2.8   2.9    MM  1.6   MM    MM
2014 02 04 11 04  30  4.0  5.0   0.9     5    MM  MM 1027.3  -2.3   2.9    MM  1.6   MM    MM
2014 02 04 10 04  20  5.0  6.0   0.9     5    MM  MM 1026.4  -2.1   2.9    MM  1.6   MM    MM
2014 02 04 09 04  10  5.0  6.0   0.7     5    MM  MM 1026.1  -2.0   2.9    MM  1.6   MM    MM
2014 02 04 08 04 360  5.0  6.0   1.0     5    MM  MM 1025.6  -2.1   3.0    MM  1.6   MM    MM
2014 02 04 07 04  20  5.0  6.0   1.0     6    MM  MM 1025.0  -1.4   3.0    MM  1.6   MM    MM
2014 02 04 06 04  30  5.0  6.0   0.9     6    MM  MM 1024.4  -1.2   3.0    MM  1.6   MM    MM
2014 02 04 05 04  20  6.0  7.0   1.0     8    MM  MM 1024.4  -0.8   3.0    MM  1.6   MM    MM
2014 02 04 04 04  20  6.0  7.0   1.0    11    MM  MM 1023.9  -0.4   3.0    MM  1.6   MM    MM
2014 02 04 03 04  10  5.0  6.0   1.0     8    MM  MM 1023.7   0.1   3.0    MM  1.6   MM    MM
